"plot","year","koppen_climate","precipitation","freeze_thaw","mean_temp","substrate_depth","species_richness","shannon_diversity","evenness","bare_substrate","total_plant_cover","vascular_plant_cover","moss"
"S-4-b-17","2017","Cfb",1195,26,8.74,30,6,120,67,1,99,99,0
"D-11-a-17","2017","Dfb",681,65,7.26,30,4,87,62,30,70,29,41
"D-12-a-17","2017","Dfb",681,65,7.26,30,3,38,34,0,99,99,0
"D-1-a-17","2017","Cfb",681,65,7.26,30,2,25,22,0,99,99,0
"D-2-a-17","2017","Dfb",681,65,7.26,30,3,93,57,55,45,43,2
"D-3-a-17","2017","Dfb",681,65,7.26,55,2,60,43,2,98,52,46
"D-4-a-17","2017","Dfb",681,65,7.26,30,3,95,86,17,83,74,9
"D-5-a-17","2017","Dfb",681,65,7.26,30,3,109,100,44,56,51,5
"D-6-a-17","2017","Dfb",681,65,7.26,55,4,62,38,12,87,53,34
"D-8-a-17","2017","Dfb",681,65,7.26,30,4,123,77,12,88,53,35
"D-9-a-17","2017","Dfb",681,65,7.26,30,2,20,29,0,100,100,0
"O1-1-a-17","2017","Dfb",709,65,7.35,30,5,73,46,1,99,95,4
"O1-1-b-17","2017","Dfb",709,65,7.35,30,3,107,78,0,100,99,0
"O1-2-a-17","2017","Dfb",709,65,7.35,40,4,117,74,0,100,98,2
"O1-2-b-17","2017","Dfb",709,65,7.35,40,4,119,86,2,98,93,5
"O1-3-a-17","2017","Dfb",709,65,7.35,40,3,96,68,10,90,83,7
"O1-3-b-17","2017","Dfb",709,65,7.35,40,3,97,88,7,93,90,3
"O1-4-a-17","2017","Dfb",709,65,7.35,30,3,54,48,1,99,53,46
"O1-4-b-17","2017","Dfb",709,65,7.35,30,2,74,67,3,97,27,69
"O2-1-a-17","2017","Dfb",709,65,7.35,30,2,28,40,0,100,100,0
"O2-1-b-17","2017","Dfb",709,65,7.35,30,4,35,25,0,100,94,6
"O2-2-a-17","2017","Dfb",709,65,7.35,40,4,94,59,3,97,82,15
"O2-2-b-17","2017","Dfb",709,65,7.35,40,4,107,60,0,99,77,22
"O2-3-a-17","2017","Dfb",709,65,7.35,30,5,80,50,0,100,94,6
"O2-3-b-17","2017","Dfb",709,65,7.35,30,5,104,64,0,100,83,17
"B-1b-b-17","2017","Cfb",2740,28,8.77,30,4,119,86,7,124,86,7
"B-1u-a-17","2017","Cfb",2740,28,8.77,30,4,126,91,30,85,55,15
"B-2-a-17","2017","Cfb",2740,28,8.77,30,3,40,36,3,98,63,34
"B-2-b-17","2017","Cfb",2740,28,8.77,30,3,40,36,2,100,72,26
"B-3-a-17","2017","Cfb",2740,28,8.77,85,3,102,94,0,190,100,0
"B-3-b-17","2017","Cfb",2740,28,8.77,85,4,120,86,1,149,96,3
"B-4-a-17","2017","Cfb",2740,28,8.77,30,4,90,64,2,125,84,14
"B-4-b-17","2017","Cfb",2740,28,8.77,30,5,104,64,3,127,74,23
"B-5-a-17","2017","Cfb",2740,28,8.77,60,4,130,95,0,145,90,10
"B-5-b-17","2017","Cfb",2740,28,8.77,60,4,113,82,0,163,95,5
"Tm-1b-c-17","2017","Cfb",1084,63,6.06,30,2,16,23,0,80,80,0
"Tm-1m-b-17","2017","Cfb",1084,63,6.06,30,2,61,87,2,92,87,3
"Tm-1u-a-17","2017","Cfb",1084,63,6.06,30,3,20,18,5,73,71,2
"Tm-2-a-17","2017","Cfb",1084,63,6.06,30,2,37,53,50,50,25,25
"Tm-2-b-17","2017","Cfb",1084,63,6.06,30,2,23,33,25,75,65,10
"Tm-2-c-17","2017","Cfb",1084,63,6.06,30,4,95,68,8,102,91,1
"Tm-3-a-17","2017","Cfb",1084,63,6.06,55,5,100,61,0,103,92,8
"Tm-3-b-17","2017","Cfb",1084,63,6.06,55,5,129,80,0,140,100,0
"Tm-3-c-17","2017","Cfb",1084,63,6.06,55,5,113,70,8,102,92,0
"To-2-a-17","2017","Dfc",1151,71,3.73,40,4,106,58,3,99,48,49
"To-2-b-17","2017","Dfc",1151,71,3.73,40,3,47,34,2,100,59,39
"To-3-a-17","2017","Dfc",1151,71,3.73,40,4,58,42,0,104,34,65
"To-3-b-17","2017","Dfc",1151,71,3.73,40,2,26,18,3,101,43,54
